"Source Name"	"Characteristics[barcode identifier]"	"Characteristics[material role]"	"Characteristics[chemical compound]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Date"	"Sample Name"	"Material Type"	
"102920_S9"	"1024506648"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102920_S9"	"specimen"
"102936_N7"	"1024506803"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102936_N7"	"specimen"
"p180-UHPLC Cal4"	"437331"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal4"	"positive control"
"102914_S3"	"1024506584"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102914_S3"	"specimen"
"102930_N1"	"1024506740"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102930_N1"	"specimen"
"102940_TD000232_2"	"1024506861"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"serum"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0001977"	"sample collection"	""	"102940_TD000232_2"	"specimen"
"102910_J8"	"1024506546"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102910_J8"	"specimen"
"102922_M2"	"1024506667"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102922_M2"	"specimen"
"102934_N5"	"1024506788"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102934_N5"	"specimen"
"102926_M6"	"1024506701"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102926_M6"	"specimen"
"102938_N9"	"1024506822"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102938_N9"	"specimen"
"p180-UHPLC Cal7"	"437362"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal7"	"positive control"
"102937_N8"	"1024506818"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102937_N8"	"specimen"
"p180_QC3"	"1020164640"	"positive control"	"EDTA plasma"	"not applicable"			"not applicable"			"sample collection"	"2017-04-25"	"p180_QC3"	"positive control"
"102935_N6"	"1024506792"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102935_N6"	"specimen"
"102923_M3"	"1024506671"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102923_M3"	"specimen"
"102911_J9"	"1024506551"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102911_J9"	"specimen"
"102903_J1"	"1024506478"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102903_J1"	"specimen"
"102915_S4"	"1024506599"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102915_S4"	"specimen"
"102919_S8"	"1024506633"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102919_S8"	"specimen"
"102931_N2"	"1024506754"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102931_N2"	"specimen"
"102907_J5"	"1024506512"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102907_J5"	"specimen"
"102941_TD000232_3"	"1024506875"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"serum"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0001977"	"sample collection"	""	"102941_TD000232_3"	"specimen"
"102906_J4"	"1024506508"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102906_J4"	"specimen"
"102918_S7"	"1024506629"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102918_S7"	"specimen"
"p180-UHPLC Cal2"	"437314"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal2"	"positive control"
"p180-UHPLC Cal6"	"437359"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal6"	"positive control"
"p180_QC2"	"1020164635"	"positive control"	"EDTA plasma"	"not applicable"			"not applicable"			"sample collection"	"2017-04-25"	"p180_QC2"	"positive control"
"102904_J2"	"1024506482"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102904_J2"	"specimen"
"102942_TD000232_4"	"1024506880"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"serum"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0001977"	"sample collection"	""	"102942_TD000232_4"	"specimen"
"102924_M4"	"1024506686"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102924_M4"	"specimen"
"102912_S1"	"1024506565"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102912_S1"	"specimen"
"PBS"	"11000002"	"negative control"	"water based zero samples"	"not applicable"			"not applicable"			"sample collection"	"2008-10-24"	"PBS"	"negative control"
"102928_M8"	"1024506721"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102928_M8"	"specimen"
"102916_S5"	"1024506600"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102916_S5"	"specimen"
"102927_M7"	"1024506716"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102927_M7"	"specimen"
"p180-UHPLC Cal5"	"437345"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal5"	"positive control"
"p180-UHPLC Cal1"	"437301"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal1"	"positive control"
"p180_QC1"	"1020164621"	"positive control"	"EDTA plasma"	"not applicable"			"not applicable"			"sample collection"	"2017-04-12"	"p180_QC1"	"positive control"
