Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[pulse_sequence]	Parameter Value[acquisition_mode]	Performer	Raw Data File
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_9-26
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_9-15
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_9-24
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_9-32
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-22
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-28
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-9
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-7
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_10-17
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-22
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_10-34
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-28
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-30
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_10-3
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-13
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_10-26
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-11
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_10-32
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_10-20
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_10-24
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_10-15
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_10-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_10-5
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-7
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-20
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_11-5
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-28
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_11-17
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_11-32
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-22
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_11-15
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_11-26
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-11
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-30
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_11-3
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-13
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_11-24
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_11-34
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_11-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_11-9
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-22
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-9
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-20
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_12-26
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-13
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-11
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_12-32
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_12-34
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_12-17
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_12-5
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_12-24
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-7
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-30
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_12-15
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_12-3
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_12-28
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-30
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-11
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_13-3
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-22
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_13-5
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-13
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_13-32
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-7
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-28
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_13-15
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-20
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_13-17
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_13-34
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_13-26
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_13-24
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_13-9
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-9
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-11
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-7
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_14-34
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-22
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-28
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_14-32
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-13
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_14-5
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-30
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_14-3
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_14-26
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_14-15
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_14-20
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_14-17
GRP-control.SBJ-002.CEL-CELL_control_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_14-24
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_15-3
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_15-24
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_15-34
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-30
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-20
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_15-17
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-11
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-7
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_15-26
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_15-15
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_15-32
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-28
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-22
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-9
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_15-5
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_15-13
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_16-9
GRP-control.SBJ-003.CEL-CELL_control_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_16-28
