Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[sequencing instrument]	Assay Name	Performer	Raw Data File
GRP2_SBJ2_A1E5_SMP-saliva-1	extraction	Unknown	AT16-S49-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S49-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S49-raw_data_file-R1
GRP2_SBJ3_A1E0_SMP-saliva-1	extraction	Unknown	AT16-S28-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S28-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S28-raw_data_file-R1
GRP2_SBJ3_A1E2_SMP-saliva-1	extraction	Unknown	AT16-S33-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S33-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S33-raw_data_file-R1
GRP2_SBJ3_A1E4_SMP-saliva-1	extraction	Unknown	AT16-S38-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S38-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S38-raw_data_file-R1
GRP2_SBJ3_A1E5_SMP-blood-1	extraction	Unknown	AT16-S43-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S43-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S43-raw_data_file-R1
GRP2_SBJ3_A1E5_SMP-saliva-1	extraction	Unknown	AT16-S48-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S48-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S48-raw_data_file-R1
GRP2_SBJ4_A1E0_SMP-saliva-1	extraction	Unknown	AT16-S26-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S26-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S26-raw_data_file-R1
GRP2_SBJ4_A1E2_SMP-saliva-1	extraction	Unknown	AT16-S31-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S31-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S31-raw_data_file-R1
GRP2_SBJ4_A1E4_SMP-saliva-1	extraction	Unknown	AT16-S36-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S36-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S36-raw_data_file-R1
GRP2_SBJ4_A1E5_SMP-blood-1	extraction	Unknown	AT16-S41-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S41-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S41-raw_data_file-R1
GRP2_SBJ4_A1E5_SMP-saliva-1	extraction	Unknown	AT16-S46-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S46-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S46-raw_data_file-R1
GRP2_SBJ5_A1E0_SMP-saliva-1	extraction	Unknown	AT16-S30-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S30-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S30-raw_data_file-R1
GRP2_SBJ5_A1E2_SMP-saliva-1	extraction	Unknown	AT16-S35-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S35-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S35-raw_data_file-R1
GRP2_SBJ5_A1E4_SMP-saliva-1	extraction	Unknown	AT16-S40-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S40-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S40-raw_data_file-R1
GRP2_SBJ5_A1E5_SMP-blood-1	extraction	Unknown	AT16-S45-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S45-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S45-raw_data_file-R1
GRP2_SBJ5_A1E5_SMP-saliva-1	extraction	Unknown	AT16-S50-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S50-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S50-raw_data_file-R1
GRP3_SBJ1_A3E0_SMP-saliva-1	extraction	Unknown	AT16-S51-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S51-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S51-raw_data_file-R1
GRP3_SBJ1_A3E2_SMP-saliva-1	extraction	Unknown	AT16-S56-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S56-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S56-raw_data_file-R1
GRP3_SBJ1_A3E4_SMP-saliva-1	extraction	Unknown	AT16-S61-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S61-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S61-raw_data_file-R1
GRP3_SBJ1_A3E5_SMP-blood-1	extraction	Unknown	AT16-S66-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S66-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S66-raw_data_file-R1
GRP3_SBJ1_A3E5_SMP-blood-2	extraction	Unknown	AT16-S67-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S67-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S67-raw_data_file-R1
GRP3_SBJ1_A3E5_SMP-saliva-1	extraction	Unknown	AT16-S76-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S76-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S76-raw_data_file-R1
GRP3_SBJ2_A3E0_SMP-saliva-1	extraction	Unknown	AT16-S54-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S54-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S54-raw_data_file-R1
GRP3_SBJ2_A3E2_SMP-saliva-1	extraction	Unknown	AT16-S59-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S59-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S59-raw_data_file-R1
GRP3_SBJ2_A3E4_SMP-saliva-1	extraction	Unknown	AT16-S64-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S64-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S64-raw_data_file-R1
GRP3_SBJ2_A3E5_SMP-blood-1	extraction	Unknown	AT16-S72-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S72-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S72-raw_data_file-R1
GRP3_SBJ2_A3E5_SMP-blood-2	extraction	Unknown	AT16-S73-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S73-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S73-raw_data_file-R1
GRP3_SBJ2_A3E5_SMP-saliva-1	extraction	Unknown	AT16-S79-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S79-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S79-raw_data_file-R1
GRP3_SBJ3_A3E0_SMP-saliva-1	extraction	Unknown	AT16-S53-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S53-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S53-raw_data_file-R1
GRP3_SBJ3_A3E2_SMP-saliva-1	extraction	Unknown	AT16-S58-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S58-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S58-raw_data_file-R1
GRP3_SBJ3_A3E4_SMP-saliva-1	extraction	Unknown	AT16-S63-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S63-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S63-raw_data_file-R1
GRP3_SBJ3_A3E5_SMP-blood-1	extraction	Unknown	AT16-S70-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S70-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S70-raw_data_file-R1
GRP3_SBJ3_A3E5_SMP-blood-2	extraction	Unknown	AT16-S71-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S71-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S71-raw_data_file-R1
GRP3_SBJ3_A3E5_SMP-saliva-1	extraction	Unknown	AT16-S78-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S78-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S78-raw_data_file-R1
GRP3_SBJ4_A3E0_SMP-saliva-1	extraction	Unknown	AT16-S52-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S52-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S52-raw_data_file-R1
GRP3_SBJ4_A3E2_SMP-saliva-1	extraction	Unknown	AT16-S57-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S57-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S57-raw_data_file-R1
GRP3_SBJ4_A3E4_SMP-saliva-1	extraction	Unknown	AT16-S62-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S62-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S62-raw_data_file-R1
GRP3_SBJ4_A3E5_SMP-blood-1	extraction	Unknown	AT16-S68-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S68-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S68-raw_data_file-R1
GRP3_SBJ4_A3E5_SMP-blood-2	extraction	Unknown	AT16-S69-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S69-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S69-raw_data_file-R1
GRP3_SBJ4_A3E5_SMP-saliva-1	extraction	Unknown	AT16-S77-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S77-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S77-raw_data_file-R1
GRP3_SBJ5_A3E0_SMP-saliva-1	extraction	Unknown	AT16-S55-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S55-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S55-raw_data_file-R1
GRP3_SBJ5_A3E2_SMP-saliva-1	extraction	Unknown	AT16-S60-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S60-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S60-raw_data_file-R1
GRP3_SBJ5_A3E4_SMP-saliva-1	extraction	Unknown	AT16-S65-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S65-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S65-raw_data_file-R1
GRP3_SBJ5_A3E5_SMP-blood-1	extraction	Unknown	AT16-S74-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S74-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S74-raw_data_file-R1
GRP3_SBJ5_A3E5_SMP-blood-2	extraction	Unknown	AT16-S75-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S75-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S75-raw_data_file-R1
GRP3_SBJ5_A3E5_SMP-saliva-1	extraction	Unknown	AT16-S80-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S80-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S80-raw_data_file-R1
GRP4_SBJ1_A2E0_SMP-saliva-1	extraction	Unknown	AT16-S81-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S81-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S81-raw_data_file-R1
GRP4_SBJ1_A2E2_SMP-saliva-1	extraction	Unknown	AT16-S86-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S86-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S86-raw_data_file-R1
GRP4_SBJ1_A2E4_SMP-saliva-1	extraction	Unknown	AT16-S91-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S91-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S91-raw_data_file-R1
GRP4_SBJ1_A2E5_SMP-blood-1	extraction	Unknown	AT16-S96-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S96-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S96-raw_data_file-R1
GRP4_SBJ1_A2E5_SMP-saliva-1	extraction	Unknown	AT16-S101-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S101-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S101-raw_data_file-R1
GRP4_SBJ2_A2E0_SMP-saliva-1	extraction	Unknown	AT16-S83-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S83-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S83-raw_data_file-R1
GRP4_SBJ2_A2E2_SMP-saliva-1	extraction	Unknown	AT16-S88-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S88-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S88-raw_data_file-R1
GRP4_SBJ2_A2E4_SMP-saliva-1	extraction	Unknown	AT16-S93-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S93-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S93-raw_data_file-R1
GRP4_SBJ2_A2E5_SMP-blood-1	extraction	Unknown	AT16-S98-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S98-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S98-raw_data_file-R1
GRP4_SBJ2_A2E5_SMP-saliva-1	extraction	Unknown	AT16-S103-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S103-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S103-raw_data_file-R1
GRP4_SBJ3_A2E0_SMP-saliva-1	extraction	Unknown	AT16-S84-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S84-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S84-raw_data_file-R1
GRP4_SBJ3_A2E2_SMP-saliva-1	extraction	Unknown	AT16-S89-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S89-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S89-raw_data_file-R1
GRP4_SBJ3_A2E4_SMP-saliva-1	extraction	Unknown	AT16-S94-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S94-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S94-raw_data_file-R1
GRP4_SBJ3_A2E5_SMP-blood-1	extraction	Unknown	AT16-S99-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S99-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S99-raw_data_file-R1
GRP4_SBJ3_A2E5_SMP-saliva-1	extraction	Unknown	AT16-S104-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S104-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S104-raw_data_file-R1
GRP4_SBJ4_A2E0_SMP-saliva-1	extraction	Unknown	AT16-S82-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S82-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S82-raw_data_file-R1
GRP4_SBJ4_A2E2_SMP-saliva-1	extraction	Unknown	AT16-S87-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S87-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S87-raw_data_file-R1
GRP4_SBJ4_A2E4_SMP-saliva-1	extraction	Unknown	AT16-S92-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S92-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S92-raw_data_file-R1
GRP4_SBJ4_A2E5_SMP-blood-1	extraction	Unknown	AT16-S97-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S97-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S97-raw_data_file-R1
GRP4_SBJ4_A2E5_SMP-saliva-1	extraction	Unknown	AT16-S102-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S102-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S102-raw_data_file-R1
GRP4_SBJ5_A2E0_SMP-saliva-1	extraction	Unknown	AT16-S85-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S85-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S85-raw_data_file-R1
GRP4_SBJ5_A2E2_SMP-saliva-1	extraction	Unknown	AT16-S90-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S90-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S90-raw_data_file-R1
GRP4_SBJ5_A2E4_SMP-saliva-1	extraction	Unknown	AT16-S95-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S95-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S95-raw_data_file-R1
GRP4_SBJ5_A2E5_SMP-blood-1	extraction	Unknown	AT16-S100-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S100-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S100-raw_data_file-R1
GRP4_SBJ5_A2E5_SMP-saliva-1	extraction	Unknown	AT16-S105-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S105-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S105-raw_data_file-R1
