Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[acquisition_mode]	Parameter Value[pulse_sequence]	Performer	Free Induction Decay Data File
GRP2_SBJ2_A1E4_SMP-saliva-1	extraction	Unknown	AT2-S39-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S39-raw_spectral_data_file-R1
GRP2_SBJ2_A1E5_SMP-blood-1	extraction	Unknown	AT2-S44-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S44-raw_spectral_data_file-R1
GRP2_SBJ2_A1E5_SMP-saliva-1	extraction	Unknown	AT2-S49-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S49-raw_spectral_data_file-R1
GRP2_SBJ3_A1E0_SMP-saliva-1	extraction	Unknown	AT2-S28-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S28-raw_spectral_data_file-R1
GRP2_SBJ3_A1E2_SMP-saliva-1	extraction	Unknown	AT2-S33-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S33-raw_spectral_data_file-R1
GRP2_SBJ3_A1E4_SMP-saliva-1	extraction	Unknown	AT2-S38-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S38-raw_spectral_data_file-R1
GRP2_SBJ3_A1E5_SMP-blood-1	extraction	Unknown	AT2-S43-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S43-raw_spectral_data_file-R1
GRP2_SBJ3_A1E5_SMP-saliva-1	extraction	Unknown	AT2-S48-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S48-raw_spectral_data_file-R1
GRP2_SBJ4_A1E0_SMP-saliva-1	extraction	Unknown	AT2-S26-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S26-raw_spectral_data_file-R1
GRP2_SBJ4_A1E2_SMP-saliva-1	extraction	Unknown	AT2-S31-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S31-raw_spectral_data_file-R1
GRP2_SBJ4_A1E4_SMP-saliva-1	extraction	Unknown	AT2-S36-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S36-raw_spectral_data_file-R1
GRP2_SBJ4_A1E5_SMP-blood-1	extraction	Unknown	AT2-S41-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S41-raw_spectral_data_file-R1
GRP2_SBJ4_A1E5_SMP-saliva-1	extraction	Unknown	AT2-S46-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S46-raw_spectral_data_file-R1
GRP2_SBJ5_A1E0_SMP-saliva-1	extraction	Unknown	AT2-S30-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S30-raw_spectral_data_file-R1
GRP2_SBJ5_A1E2_SMP-saliva-1	extraction	Unknown	AT2-S35-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S35-raw_spectral_data_file-R1
GRP2_SBJ5_A1E4_SMP-saliva-1	extraction	Unknown	AT2-S40-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S40-raw_spectral_data_file-R1
GRP2_SBJ5_A1E5_SMP-blood-1	extraction	Unknown	AT2-S45-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S45-raw_spectral_data_file-R1
GRP2_SBJ5_A1E5_SMP-saliva-1	extraction	Unknown	AT2-S50-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S50-raw_spectral_data_file-R1
GRP3_SBJ1_A3E0_SMP-saliva-1	extraction	Unknown	AT2-S51-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S51-raw_spectral_data_file-R1
GRP3_SBJ1_A3E2_SMP-saliva-1	extraction	Unknown	AT2-S56-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S56-raw_spectral_data_file-R1
GRP3_SBJ1_A3E4_SMP-saliva-1	extraction	Unknown	AT2-S61-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S61-raw_spectral_data_file-R1
GRP3_SBJ1_A3E5_SMP-blood-1	extraction	Unknown	AT2-S66-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S66-raw_spectral_data_file-R1
GRP3_SBJ1_A3E5_SMP-blood-2	extraction	Unknown	AT2-S67-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S67-raw_spectral_data_file-R1
GRP3_SBJ1_A3E5_SMP-saliva-1	extraction	Unknown	AT2-S76-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S76-raw_spectral_data_file-R1
GRP3_SBJ2_A3E0_SMP-saliva-1	extraction	Unknown	AT2-S54-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S54-raw_spectral_data_file-R1
GRP3_SBJ2_A3E2_SMP-saliva-1	extraction	Unknown	AT2-S59-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S59-raw_spectral_data_file-R1
GRP3_SBJ2_A3E4_SMP-saliva-1	extraction	Unknown	AT2-S64-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S64-raw_spectral_data_file-R1
GRP3_SBJ2_A3E5_SMP-blood-1	extraction	Unknown	AT2-S72-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S72-raw_spectral_data_file-R1
GRP3_SBJ2_A3E5_SMP-blood-2	extraction	Unknown	AT2-S73-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S73-raw_spectral_data_file-R1
GRP3_SBJ2_A3E5_SMP-saliva-1	extraction	Unknown	AT2-S79-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S79-raw_spectral_data_file-R1
GRP3_SBJ3_A3E0_SMP-saliva-1	extraction	Unknown	AT2-S53-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S53-raw_spectral_data_file-R1
GRP3_SBJ3_A3E2_SMP-saliva-1	extraction	Unknown	AT2-S58-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S58-raw_spectral_data_file-R1
GRP3_SBJ3_A3E4_SMP-saliva-1	extraction	Unknown	AT2-S63-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S63-raw_spectral_data_file-R1
GRP3_SBJ3_A3E5_SMP-blood-1	extraction	Unknown	AT2-S70-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S70-raw_spectral_data_file-R1
GRP3_SBJ3_A3E5_SMP-blood-2	extraction	Unknown	AT2-S71-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S71-raw_spectral_data_file-R1
GRP3_SBJ3_A3E5_SMP-saliva-1	extraction	Unknown	AT2-S78-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S78-raw_spectral_data_file-R1
GRP3_SBJ4_A3E0_SMP-saliva-1	extraction	Unknown	AT2-S52-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S52-raw_spectral_data_file-R1
GRP3_SBJ4_A3E2_SMP-saliva-1	extraction	Unknown	AT2-S57-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S57-raw_spectral_data_file-R1
GRP3_SBJ4_A3E4_SMP-saliva-1	extraction	Unknown	AT2-S62-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S62-raw_spectral_data_file-R1
GRP3_SBJ4_A3E5_SMP-blood-1	extraction	Unknown	AT2-S68-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S68-raw_spectral_data_file-R1
GRP3_SBJ4_A3E5_SMP-blood-2	extraction	Unknown	AT2-S69-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S69-raw_spectral_data_file-R1
GRP3_SBJ4_A3E5_SMP-saliva-1	extraction	Unknown	AT2-S77-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S77-raw_spectral_data_file-R1
GRP3_SBJ5_A3E0_SMP-saliva-1	extraction	Unknown	AT2-S55-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S55-raw_spectral_data_file-R1
GRP3_SBJ5_A3E2_SMP-saliva-1	extraction	Unknown	AT2-S60-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S60-raw_spectral_data_file-R1
GRP3_SBJ5_A3E4_SMP-saliva-1	extraction	Unknown	AT2-S65-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S65-raw_spectral_data_file-R1
GRP3_SBJ5_A3E5_SMP-blood-1	extraction	Unknown	AT2-S74-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S74-raw_spectral_data_file-R1
GRP3_SBJ5_A3E5_SMP-blood-2	extraction	Unknown	AT2-S75-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S75-raw_spectral_data_file-R1
GRP3_SBJ5_A3E5_SMP-saliva-1	extraction	Unknown	AT2-S80-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S80-raw_spectral_data_file-R1
GRP4_SBJ1_A2E0_SMP-saliva-1	extraction	Unknown	AT2-S81-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S81-raw_spectral_data_file-R1
GRP4_SBJ1_A2E2_SMP-saliva-1	extraction	Unknown	AT2-S86-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S86-raw_spectral_data_file-R1
GRP4_SBJ1_A2E4_SMP-saliva-1	extraction	Unknown	AT2-S91-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S91-raw_spectral_data_file-R1
GRP4_SBJ1_A2E5_SMP-blood-1	extraction	Unknown	AT2-S96-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S96-raw_spectral_data_file-R1
GRP4_SBJ1_A2E5_SMP-saliva-1	extraction	Unknown	AT2-S101-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S101-raw_spectral_data_file-R1
GRP4_SBJ2_A2E0_SMP-saliva-1	extraction	Unknown	AT2-S83-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S83-raw_spectral_data_file-R1
GRP4_SBJ2_A2E2_SMP-saliva-1	extraction	Unknown	AT2-S88-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S88-raw_spectral_data_file-R1
GRP4_SBJ2_A2E4_SMP-saliva-1	extraction	Unknown	AT2-S93-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S93-raw_spectral_data_file-R1
GRP4_SBJ2_A2E5_SMP-blood-1	extraction	Unknown	AT2-S98-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S98-raw_spectral_data_file-R1
GRP4_SBJ2_A2E5_SMP-saliva-1	extraction	Unknown	AT2-S103-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S103-raw_spectral_data_file-R1
GRP4_SBJ3_A2E0_SMP-saliva-1	extraction	Unknown	AT2-S84-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S84-raw_spectral_data_file-R1
GRP4_SBJ3_A2E2_SMP-saliva-1	extraction	Unknown	AT2-S89-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S89-raw_spectral_data_file-R1
GRP4_SBJ3_A2E4_SMP-saliva-1	extraction	Unknown	AT2-S94-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S94-raw_spectral_data_file-R1
GRP4_SBJ3_A2E5_SMP-blood-1	extraction	Unknown	AT2-S99-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S99-raw_spectral_data_file-R1
GRP4_SBJ3_A2E5_SMP-saliva-1	extraction	Unknown	AT2-S104-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S104-raw_spectral_data_file-R1
GRP4_SBJ4_A2E0_SMP-saliva-1	extraction	Unknown	AT2-S82-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S82-raw_spectral_data_file-R1
GRP4_SBJ4_A2E2_SMP-saliva-1	extraction	Unknown	AT2-S87-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S87-raw_spectral_data_file-R1
GRP4_SBJ4_A2E4_SMP-saliva-1	extraction	Unknown	AT2-S92-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S92-raw_spectral_data_file-R1
GRP4_SBJ4_A2E5_SMP-blood-1	extraction	Unknown	AT2-S97-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S97-raw_spectral_data_file-R1
GRP4_SBJ4_A2E5_SMP-saliva-1	extraction	Unknown	AT2-S102-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S102-raw_spectral_data_file-R1
GRP4_SBJ5_A2E0_SMP-saliva-1	extraction	Unknown	AT2-S85-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S85-raw_spectral_data_file-R1
GRP4_SBJ5_A2E2_SMP-saliva-1	extraction	Unknown	AT2-S90-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S90-raw_spectral_data_file-R1
GRP4_SBJ5_A2E4_SMP-saliva-1	extraction	Unknown	AT2-S95-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S95-raw_spectral_data_file-R1
GRP4_SBJ5_A2E5_SMP-blood-1	extraction	Unknown	AT2-S100-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S100-raw_spectral_data_file-R1
GRP4_SBJ5_A2E5_SMP-saliva-1	extraction	Unknown	AT2-S105-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S105-raw_spectral_data_file-R1
