Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Term Accession Number	Protocol REF	Performer
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT1-S6-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT1-S11-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT1-S16-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT1-S21-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT1-S4-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ5_A0E2_SMP-saliva-1	extraction	Unknown	AT1-S9-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ5_A0E4_SMP-saliva-1	extraction	Unknown	AT1-S14-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ5_A0E5_SMP-blood-1	extraction	Unknown	AT1-S19-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ5_A0E5_SMP-saliva-1	extraction	Unknown	AT1-S24-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ1_A1E0_SMP-saliva-1	extraction	Unknown	AT1-S27-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ1_A1E2_SMP-saliva-1	extraction	Unknown	AT1-S32-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ1_A1E4_SMP-saliva-1	extraction	Unknown	AT1-S37-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ1_A1E5_SMP-blood-1	extraction	Unknown	AT1-S42-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ1_A1E5_SMP-saliva-1	extraction	Unknown	AT1-S47-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ2_A1E0_SMP-saliva-1	extraction	Unknown	AT1-S29-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ2_A1E2_SMP-saliva-1	extraction	Unknown	AT1-S34-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ2_A1E4_SMP-saliva-1	extraction	Unknown	AT1-S39-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ2_A1E5_SMP-blood-1	extraction	Unknown	AT1-S44-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ2_A1E5_SMP-saliva-1	extraction	Unknown	AT1-S49-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ3_A1E0_SMP-saliva-1	extraction	Unknown	AT1-S28-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ3_A1E2_SMP-saliva-1	extraction	Unknown	AT1-S33-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ3_A1E4_SMP-saliva-1	extraction	Unknown	AT1-S38-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ3_A1E5_SMP-blood-1	extraction	Unknown	AT1-S43-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ3_A1E5_SMP-saliva-1	extraction	Unknown	AT1-S48-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ4_A1E0_SMP-saliva-1	extraction	Unknown	AT1-S26-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ4_A1E2_SMP-saliva-1	extraction	Unknown	AT1-S31-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ4_A1E4_SMP-saliva-1	extraction	Unknown	AT1-S36-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ4_A1E5_SMP-blood-1	extraction	Unknown	AT1-S41-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ4_A1E5_SMP-saliva-1	extraction	Unknown	AT1-S46-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ5_A1E0_SMP-saliva-1	extraction	Unknown	AT1-S30-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ5_A1E2_SMP-saliva-1	extraction	Unknown	AT1-S35-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ5_A1E4_SMP-saliva-1	extraction	Unknown	AT1-S40-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ5_A1E5_SMP-blood-1	extraction	Unknown	AT1-S45-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP2_SBJ5_A1E5_SMP-saliva-1	extraction	Unknown	AT1-S50-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E0_SMP-saliva-1	extraction	Unknown	AT1-S51-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E2_SMP-saliva-1	extraction	Unknown	AT1-S56-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E4_SMP-saliva-1	extraction	Unknown	AT1-S61-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E5_SMP-blood-1	extraction	Unknown	AT1-S66-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E5_SMP-blood-2	extraction	Unknown	AT1-S67-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ1_A3E5_SMP-saliva-1	extraction	Unknown	AT1-S76-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E0_SMP-saliva-1	extraction	Unknown	AT1-S54-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E2_SMP-saliva-1	extraction	Unknown	AT1-S59-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E4_SMP-saliva-1	extraction	Unknown	AT1-S64-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E5_SMP-blood-1	extraction	Unknown	AT1-S72-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E5_SMP-blood-2	extraction	Unknown	AT1-S73-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ2_A3E5_SMP-saliva-1	extraction	Unknown	AT1-S79-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E0_SMP-saliva-1	extraction	Unknown	AT1-S53-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E2_SMP-saliva-1	extraction	Unknown	AT1-S58-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E4_SMP-saliva-1	extraction	Unknown	AT1-S63-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E5_SMP-blood-1	extraction	Unknown	AT1-S70-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E5_SMP-blood-2	extraction	Unknown	AT1-S71-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ3_A3E5_SMP-saliva-1	extraction	Unknown	AT1-S78-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E0_SMP-saliva-1	extraction	Unknown	AT1-S52-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E2_SMP-saliva-1	extraction	Unknown	AT1-S57-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E4_SMP-saliva-1	extraction	Unknown	AT1-S62-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E5_SMP-blood-1	extraction	Unknown	AT1-S68-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E5_SMP-blood-2	extraction	Unknown	AT1-S69-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ4_A3E5_SMP-saliva-1	extraction	Unknown	AT1-S77-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E0_SMP-saliva-1	extraction	Unknown	AT1-S55-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E2_SMP-saliva-1	extraction	Unknown	AT1-S60-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E4_SMP-saliva-1	extraction	Unknown	AT1-S65-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E5_SMP-blood-1	extraction	Unknown	AT1-S74-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E5_SMP-blood-2	extraction	Unknown	AT1-S75-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP3_SBJ5_A3E5_SMP-saliva-1	extraction	Unknown	AT1-S80-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ1_A2E0_SMP-saliva-1	extraction	Unknown	AT1-S81-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ1_A2E2_SMP-saliva-1	extraction	Unknown	AT1-S86-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ1_A2E4_SMP-saliva-1	extraction	Unknown	AT1-S91-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ1_A2E5_SMP-blood-1	extraction	Unknown	AT1-S96-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ1_A2E5_SMP-saliva-1	extraction	Unknown	AT1-S101-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ2_A2E0_SMP-saliva-1	extraction	Unknown	AT1-S83-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ2_A2E2_SMP-saliva-1	extraction	Unknown	AT1-S88-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ2_A2E4_SMP-saliva-1	extraction	Unknown	AT1-S93-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ2_A2E5_SMP-blood-1	extraction	Unknown	AT1-S98-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ2_A2E5_SMP-saliva-1	extraction	Unknown	AT1-S103-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ3_A2E0_SMP-saliva-1	extraction	Unknown	AT1-S84-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ3_A2E2_SMP-saliva-1	extraction	Unknown	AT1-S89-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ3_A2E4_SMP-saliva-1	extraction	Unknown	AT1-S94-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ3_A2E5_SMP-blood-1	extraction	Unknown	AT1-S99-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ3_A2E5_SMP-saliva-1	extraction	Unknown	AT1-S104-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ4_A2E0_SMP-saliva-1	extraction	Unknown	AT1-S82-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ4_A2E2_SMP-saliva-1	extraction	Unknown	AT1-S87-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ4_A2E4_SMP-saliva-1	extraction	Unknown	AT1-S92-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ4_A2E5_SMP-blood-1	extraction	Unknown	AT1-S97-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ4_A2E5_SMP-saliva-1	extraction	Unknown	AT1-S102-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ5_A2E0_SMP-saliva-1	extraction	Unknown	AT1-S85-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ5_A2E2_SMP-saliva-1	extraction	Unknown	AT1-S90-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ5_A2E4_SMP-saliva-1	extraction	Unknown	AT1-S95-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ5_A2E5_SMP-blood-1	extraction	Unknown	AT1-S100-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP4_SBJ5_A2E5_SMP-saliva-1	extraction	Unknown	AT1-S105-Extract-R1	polar fraction	polar fraction	labeling	Unknown
