Source Name	Characteristics[human]	Protocol REF	Parameter Value[run order]	Parameter Value[study cell]	Date	Performer	Sample Name	Characteristics[organism part]
GRP-Arm_0.SBJ-006	human	sample collection	040	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-006	human	sample collection	069	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-006	human	sample collection	030	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-006	human	sample collection	068	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-006	human	sample collection	020	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-006	human	sample collection	010	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-007	human	sample collection	021	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-007	human	sample collection	042	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-007	human	sample collection	031	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-007	human	sample collection	041	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-007	human	sample collection	001	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-007	human	sample collection	043	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-007	human	sample collection	011	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-007.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-008	human	sample collection	032	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-008	human	sample collection	012	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-008	human	sample collection	002	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-008	human	sample collection	046	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-008	human	sample collection	022	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-008	human	sample collection	045	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-008	human	sample collection	044	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-008.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-009	human	sample collection	015	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-009	human	sample collection	054	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-009	human	sample collection	055	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-009	human	sample collection	035	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-009	human	sample collection	053	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-009	human	sample collection	025	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-009	human	sample collection	005	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-009.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-010	human	sample collection	009	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-010	human	sample collection	065	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-010	human	sample collection	066	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-010	human	sample collection	019	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-010	human	sample collection	029	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-010	human	sample collection	039	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-010	human	sample collection	067	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-010.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-001	human	sample collection	089	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-001	human	sample collection	137	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-001	human	sample collection	109	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-001	human	sample collection	135	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-001	human	sample collection	079	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-001	human	sample collection	099	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-001	human	sample collection	136	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-001.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-002	human	sample collection	093	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-002	human	sample collection	117	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-002	human	sample collection	103	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-002	human	sample collection	073	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-002	human	sample collection	083	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-002	human	sample collection	119	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-002	human	sample collection	118	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-002.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-003	human	sample collection	086	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-003	human	sample collection	128	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-003	human	sample collection	076	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-003	human	sample collection	106	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-003	human	sample collection	096	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-003	human	sample collection	127	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-003	human	sample collection	126	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-003.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-004	human	sample collection	082	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-004	human	sample collection	115	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-004	human	sample collection	092	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-004	human	sample collection	102	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-004	human	sample collection	116	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-004	human	sample collection	114	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-004	human	sample collection	072	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-004.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-005	human	sample collection	112	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-005	human	sample collection	101	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-005	human	sample collection	091	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-005	human	sample collection	071	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-005	human	sample collection	113	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-005	human	sample collection	111	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-005	human	sample collection	081	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-005.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-006	human	sample collection	139	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-006	human	sample collection	080	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-006	human	sample collection	138	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-006	human	sample collection	140	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-006	human	sample collection	110	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-006	human	sample collection	100	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-006	human	sample collection	090	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-006.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-007	human	sample collection	084	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-007	human	sample collection	104	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-007	human	sample collection	074	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-007	human	sample collection	120	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-007	human	sample collection	121	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-007	human	sample collection	122	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-007	human	sample collection	094	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-007.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-008	human	sample collection	087	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-008	human	sample collection	129	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-008	human	sample collection	077	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-008	human	sample collection	107	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-008	human	sample collection	097	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-008	human	sample collection	130	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-008	human	sample collection	131	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-008.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-009	human	sample collection	088	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-009	human	sample collection	098	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-009	human	sample collection	132	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-009	human	sample collection	108	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-009	human	sample collection	133	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_2.SBJ-009	human	sample collection	078	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-009	human	sample collection	134	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-009.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-010	human	sample collection	105	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_5.SMP-.blood.1	blood
GRP-Arm_2.SBJ-010	human	sample collection	095	CELL_Arm_2_4	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_4.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-010	human	sample collection	123	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_5.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-010	human	sample collection	125	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_5.SMP-.saliva.3	saliva
GRP-Arm_2.SBJ-010	human	sample collection	075	CELL_Arm_2_0	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_0.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-010	human	sample collection	085	CELL_Arm_2_2	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_2.SMP-.saliva.1	saliva
GRP-Arm_2.SBJ-010	human	sample collection	124	CELL_Arm_2_5	2020-08-21	Bob	GRP-Arm_2.SBJ-010.CEL-CELL_Arm_2_5.SMP-.saliva.2	saliva
GRP-Arm_3.SBJ-001	human	sample collection	143	CELL_Arm_3_0	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_0.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-001	human	sample collection	153	CELL_Arm_3_2	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_2.SMP-.saliva.1	saliva
GRP-Arm_3.SBJ-001	human	sample collection	179	CELL_Arm_3_5	2020-08-21	Bob	GRP-Arm_3.SBJ-001.CEL-CELL_Arm_3_5.SMP-.saliva.3	saliva
