Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Data File	Raw Data File
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-24	Ellipsis	raw spectral data file_12-26	raw spectral data file_12-26
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-4	Ellipsis	raw spectral data file_12-6	raw spectral data file_12-6
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-21	Ellipsis	raw spectral data file_12-23	raw spectral data file_12-23
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-50	Ellipsis	raw spectral data file_12-52	raw spectral data file_12-52
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-39	Ellipsis	raw spectral data file_12-41	raw spectral data file_12-41
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-13	Ellipsis	raw spectral data file_12-15	raw spectral data file_12-15
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-4	Ellipsis	raw spectral data file_13-6	raw spectral data file_13-6
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-13	Ellipsis	raw spectral data file_13-15	raw spectral data file_13-15
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-53	Ellipsis	raw spectral data file_13-55	raw spectral data file_13-55
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-27	Ellipsis	raw spectral data file_13-29	raw spectral data file_13-29
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-10	Ellipsis	raw spectral data file_13-12	raw spectral data file_13-12
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-56	Ellipsis	raw spectral data file_13-58	raw spectral data file_13-58
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-33	Ellipsis	raw spectral data file_13-35	raw spectral data file_13-35
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-21	Ellipsis	raw spectral data file_13-23	raw spectral data file_13-23
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-36	Ellipsis	raw spectral data file_13-38	raw spectral data file_13-38
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-42	Ellipsis	raw spectral data file_13-44	raw spectral data file_13-44
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-18	Ellipsis	raw spectral data file_13-20	raw spectral data file_13-20
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-24	Ellipsis	raw spectral data file_13-26	raw spectral data file_13-26
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-47	Ellipsis	raw spectral data file_13-49	raw spectral data file_13-49
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-1	polar fraction	labelling	Ellipsis	labelled extract_13-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-7	Ellipsis	raw spectral data file_13-9	raw spectral data file_13-9
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_13-39	Ellipsis	raw spectral data file_13-41	raw spectral data file_13-41
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_13-30	lipids	labelling	Ellipsis	labelled extract_13-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_13-50	Ellipsis	raw spectral data file_13-52	raw spectral data file_13-52
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-4	Ellipsis	raw spectral data file_14-6	raw spectral data file_14-6
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-33	Ellipsis	raw spectral data file_14-35	raw spectral data file_14-35
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-10	Ellipsis	raw spectral data file_14-12	raw spectral data file_14-12
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-7	Ellipsis	raw spectral data file_14-9	raw spectral data file_14-9
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-13	Ellipsis	raw spectral data file_14-15	raw spectral data file_14-15
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-21	Ellipsis	raw spectral data file_14-23	raw spectral data file_14-23
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-24	Ellipsis	raw spectral data file_14-26	raw spectral data file_14-26
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-36	Ellipsis	raw spectral data file_14-38	raw spectral data file_14-38
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-42	Ellipsis	raw spectral data file_14-44	raw spectral data file_14-44
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-18	Ellipsis	raw spectral data file_14-20	raw spectral data file_14-20
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-53	Ellipsis	raw spectral data file_14-55	raw spectral data file_14-55
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-56	Ellipsis	raw spectral data file_14-58	raw spectral data file_14-58
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-47	Ellipsis	raw spectral data file_14-49	raw spectral data file_14-49
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-39	Ellipsis	raw spectral data file_14-41	raw spectral data file_14-41
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-30	lipids	labelling	Ellipsis	labelled extract_14-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_14-50	Ellipsis	raw spectral data file_14-52	raw spectral data file_14-52
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_14-1	polar fraction	labelling	Ellipsis	labelled extract_14-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_14-27	Ellipsis	raw spectral data file_14-29	raw spectral data file_14-29
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-4	Ellipsis	raw spectral data file_15-6	raw spectral data file_15-6
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-27	Ellipsis	raw spectral data file_15-29	raw spectral data file_15-29
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-24	Ellipsis	raw spectral data file_15-26	raw spectral data file_15-26
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-53	Ellipsis	raw spectral data file_15-55	raw spectral data file_15-55
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-13	Ellipsis	raw spectral data file_15-15	raw spectral data file_15-15
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-36	Ellipsis	raw spectral data file_15-38	raw spectral data file_15-38
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-7	Ellipsis	raw spectral data file_15-9	raw spectral data file_15-9
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-47	Ellipsis	raw spectral data file_15-49	raw spectral data file_15-49
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-10	Ellipsis	raw spectral data file_15-12	raw spectral data file_15-12
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-21	Ellipsis	raw spectral data file_15-23	raw spectral data file_15-23
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-50	Ellipsis	raw spectral data file_15-52	raw spectral data file_15-52
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-42	Ellipsis	raw spectral data file_15-44	raw spectral data file_15-44
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-39	Ellipsis	raw spectral data file_15-41	raw spectral data file_15-41
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-1	polar fraction	labelling	Ellipsis	labelled extract_15-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-18	Ellipsis	raw spectral data file_15-20	raw spectral data file_15-20
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_15-33	Ellipsis	raw spectral data file_15-35	raw spectral data file_15-35
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_15-30	lipids	labelling	Ellipsis	labelled extract_15-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_15-56	Ellipsis	raw spectral data file_15-58	raw spectral data file_15-58
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-10	Ellipsis	raw spectral data file_16-12	raw spectral data file_16-12
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-47	Ellipsis	raw spectral data file_16-49	raw spectral data file_16-49
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-53	Ellipsis	raw spectral data file_16-55	raw spectral data file_16-55
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-24	Ellipsis	raw spectral data file_16-26	raw spectral data file_16-26
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-50	Ellipsis	raw spectral data file_16-52	raw spectral data file_16-52
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-7	Ellipsis	raw spectral data file_16-9	raw spectral data file_16-9
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-36	Ellipsis	raw spectral data file_16-38	raw spectral data file_16-38
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-18	Ellipsis	raw spectral data file_16-20	raw spectral data file_16-20
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-42	Ellipsis	raw spectral data file_16-44	raw spectral data file_16-44
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-27	Ellipsis	raw spectral data file_16-29	raw spectral data file_16-29
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-33	Ellipsis	raw spectral data file_16-35	raw spectral data file_16-35
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-4	Ellipsis	raw spectral data file_16-6	raw spectral data file_16-6
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_16-21	Ellipsis	raw spectral data file_16-23	raw spectral data file_16-23
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-1	polar fraction	labelling	Ellipsis	labelled extract_16-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-13	Ellipsis	raw spectral data file_16-15	raw spectral data file_16-15
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-56	Ellipsis	raw spectral data file_16-58	raw spectral data file_16-58
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.2	extraction	Ellipsis	extract_16-30	lipids	labelling	Ellipsis	labelled extract_16-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_16-39	Ellipsis	raw spectral data file_16-41	raw spectral data file_16-41
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-33	Ellipsis	raw spectral data file_17-35	raw spectral data file_17-35
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-10	Ellipsis	raw spectral data file_17-12	raw spectral data file_17-12
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-7	Ellipsis	raw spectral data file_17-9	raw spectral data file_17-9
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-56	Ellipsis	raw spectral data file_17-58	raw spectral data file_17-58
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-1	polar fraction	labelling	Ellipsis	labelled extract_17-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_17-13	Ellipsis	raw spectral data file_17-15	raw spectral data file_17-15
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-36	Ellipsis	raw spectral data file_17-38	raw spectral data file_17-38
GRP-treatment.SBJ-002.CEL-CELL_treatment_3.SMP-.blood_sample.3	extraction	Ellipsis	extract_17-30	lipids	labelling	Ellipsis	labelled extract_17-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_17-50	Ellipsis	raw spectral data file_17-52	raw spectral data file_17-52
