Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Data File	Raw Data File
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-53	Ellipsis	raw spectral data file_3-55	raw spectral data file_3-55
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-24	Ellipsis	raw spectral data file_3-26	raw spectral data file_3-26
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-47	Ellipsis	raw spectral data file_3-49	raw spectral data file_3-49
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-1	polar fraction	labelling	Ellipsis	labelled extract_3-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-21	Ellipsis	raw spectral data file_3-23	raw spectral data file_3-23
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_3-39	Ellipsis	raw spectral data file_3-41	raw spectral data file_3-41
GRP-treatment.SBJ-001.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_3-30	lipids	labelling	Ellipsis	labelled extract_3-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_3-50	Ellipsis	raw spectral data file_3-52	raw spectral data file_3-52
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-24	Ellipsis	raw spectral data file_0-26	raw spectral data file_0-26
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-10	Ellipsis	raw spectral data file_0-12	raw spectral data file_0-12
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-39	Ellipsis	raw spectral data file_0-41	raw spectral data file_0-41
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-7	Ellipsis	raw spectral data file_0-9	raw spectral data file_0-9
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-50	Ellipsis	raw spectral data file_0-52	raw spectral data file_0-52
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-56	Ellipsis	raw spectral data file_0-58	raw spectral data file_0-58
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-42	Ellipsis	raw spectral data file_0-44	raw spectral data file_0-44
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-47	Ellipsis	raw spectral data file_0-49	raw spectral data file_0-49
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-13	Ellipsis	raw spectral data file_0-15	raw spectral data file_0-15
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-18	Ellipsis	raw spectral data file_0-20	raw spectral data file_0-20
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-53	Ellipsis	raw spectral data file_0-55	raw spectral data file_0-55
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-33	Ellipsis	raw spectral data file_0-35	raw spectral data file_0-35
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-4	Ellipsis	raw spectral data file_0-6	raw spectral data file_0-6
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-21	Ellipsis	raw spectral data file_0-23	raw spectral data file_0-23
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-1	polar fraction	labelling	Ellipsis	labelled extract_0-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_0-27	Ellipsis	raw spectral data file_0-29	raw spectral data file_0-29
GRP-treatment.SBJ-002.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_0-30	lipids	labelling	Ellipsis	labelled extract_0-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_0-36	Ellipsis	raw spectral data file_0-38	raw spectral data file_0-38
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-56	Ellipsis	raw spectral data file_7-58	raw spectral data file_7-58
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-27	Ellipsis	raw spectral data file_7-29	raw spectral data file_7-29
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-39	Ellipsis	raw spectral data file_7-41	raw spectral data file_7-41
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-10	Ellipsis	raw spectral data file_7-12	raw spectral data file_7-12
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-53	Ellipsis	raw spectral data file_7-55	raw spectral data file_7-55
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-13	Ellipsis	raw spectral data file_7-15	raw spectral data file_7-15
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-33	Ellipsis	raw spectral data file_7-35	raw spectral data file_7-35
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-4	Ellipsis	raw spectral data file_7-6	raw spectral data file_7-6
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-21	Ellipsis	raw spectral data file_7-23	raw spectral data file_7-23
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-7	Ellipsis	raw spectral data file_7-9	raw spectral data file_7-9
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-18	Ellipsis	raw spectral data file_7-20	raw spectral data file_7-20
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-42	Ellipsis	raw spectral data file_7-44	raw spectral data file_7-44
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-50	Ellipsis	raw spectral data file_7-52	raw spectral data file_7-52
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-1	polar fraction	labelling	Ellipsis	labelled extract_7-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_7-24	Ellipsis	raw spectral data file_7-26	raw spectral data file_7-26
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-47	Ellipsis	raw spectral data file_7-49	raw spectral data file_7-49
GRP-treatment.SBJ-003.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_7-30	lipids	labelling	Ellipsis	labelled extract_7-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_7-36	Ellipsis	raw spectral data file_7-38	raw spectral data file_7-38
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-7	Ellipsis	raw spectral data file_2-9	raw spectral data file_2-9
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-27	Ellipsis	raw spectral data file_2-29	raw spectral data file_2-29
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-18	Ellipsis	raw spectral data file_2-20	raw spectral data file_2-20
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-21	Ellipsis	raw spectral data file_2-23	raw spectral data file_2-23
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-39	Ellipsis	raw spectral data file_2-41	raw spectral data file_2-41
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-42	Ellipsis	raw spectral data file_2-44	raw spectral data file_2-44
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-36	Ellipsis	raw spectral data file_2-38	raw spectral data file_2-38
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-56	Ellipsis	raw spectral data file_2-58	raw spectral data file_2-58
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-24	Ellipsis	raw spectral data file_2-26	raw spectral data file_2-26
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-4	Ellipsis	raw spectral data file_2-6	raw spectral data file_2-6
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-53	Ellipsis	raw spectral data file_2-55	raw spectral data file_2-55
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-13	Ellipsis	raw spectral data file_2-15	raw spectral data file_2-15
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-47	Ellipsis	raw spectral data file_2-49	raw spectral data file_2-49
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-1	polar fraction	labelling	Ellipsis	labelled extract_2-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_2-10	Ellipsis	raw spectral data file_2-12	raw spectral data file_2-12
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-50	Ellipsis	raw spectral data file_2-52	raw spectral data file_2-52
GRP-treatment.SBJ-004.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_2-30	lipids	labelling	Ellipsis	labelled extract_2-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_2-33	Ellipsis	raw spectral data file_2-35	raw spectral data file_2-35
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-10	Ellipsis	raw spectral data file_5-12	raw spectral data file_5-12
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-36	Ellipsis	raw spectral data file_5-38	raw spectral data file_5-38
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-42	Ellipsis	raw spectral data file_5-44	raw spectral data file_5-44
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-7	Ellipsis	raw spectral data file_5-9	raw spectral data file_5-9
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-47	Ellipsis	raw spectral data file_5-49	raw spectral data file_5-49
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-21	Ellipsis	raw spectral data file_5-23	raw spectral data file_5-23
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-4	Ellipsis	raw spectral data file_5-6	raw spectral data file_5-6
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-50	Ellipsis	raw spectral data file_5-52	raw spectral data file_5-52
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-56	Ellipsis	raw spectral data file_5-58	raw spectral data file_5-58
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-18	Ellipsis	raw spectral data file_5-20	raw spectral data file_5-20
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-27	Ellipsis	raw spectral data file_5-29	raw spectral data file_5-29
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_5-33	Ellipsis	raw spectral data file_5-35	raw spectral data file_5-35
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-24	Ellipsis	raw spectral data file_5-26	raw spectral data file_5-26
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-53	Ellipsis	raw spectral data file_5-55	raw spectral data file_5-55
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-1	polar fraction	labelling	Ellipsis	labelled extract_5-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-13	Ellipsis	raw spectral data file_5-15	raw spectral data file_5-15
GRP-treatment.SBJ-005.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_5-30	lipids	labelling	Ellipsis	labelled extract_5-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_5-39	Ellipsis	raw spectral data file_5-41	raw spectral data file_5-41
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-30	lipids	labelling	Ellipsis	labelled extract_8-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_8-42	Ellipsis	raw spectral data file_8-44	raw spectral data file_8-44
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-1	polar fraction	labelling	Ellipsis	labelled extract_8-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_8-21	Ellipsis	raw spectral data file_8-23	raw spectral data file_8-23
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-30	lipids	labelling	Ellipsis	labelled extract_8-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_8-33	Ellipsis	raw spectral data file_8-35	raw spectral data file_8-35
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-30	lipids	labelling	Ellipsis	labelled extract_8-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_8-53	Ellipsis	raw spectral data file_8-55	raw spectral data file_8-55
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-30	lipids	labelling	Ellipsis	labelled extract_8-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_8-50	Ellipsis	raw spectral data file_8-52	raw spectral data file_8-52
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-1	polar fraction	labelling	Ellipsis	labelled extract_8-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_8-7	Ellipsis	raw spectral data file_8-9	raw spectral data file_8-9
GRP-treatment.SBJ-006.CEL-CELL_treatment_2.SMP-.liver_sample.1	extraction	Ellipsis	extract_8-1	polar fraction	labelling	Ellipsis	labelled extract_8-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_8-18	Ellipsis	raw spectral data file_8-20	raw spectral data file_8-20
