Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Label	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Spectral Data File
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT0-S20-Extract-R1	polar fraction	labeling	Unknown	AT0-S20-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S20-mass-spectrometry-Acquisition-R1	Unknown	AT0-S20-raw-spectral-data-file-R1
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT0-S20-Extract-R1	polar fraction	labeling	Unknown	AT0-S20-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S20-mass-spectrometry-Acquisition-R4	Unknown	AT0-S20-raw-spectral-data-file-R4
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT0-S20-Extract-R1	polar fraction	labeling	Unknown	AT0-S20-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S20-mass-spectrometry-Acquisition-R3	Unknown	AT0-S20-raw-spectral-data-file-R3
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT0-S20-Extract-R1	polar fraction	labeling	Unknown	AT0-S20-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S20-mass-spectrometry-Acquisition-R2	Unknown	AT0-S20-raw-spectral-data-file-R2
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S25-Extract-R1	polar fraction	labeling	Unknown	AT0-S25-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S25-mass-spectrometry-Acquisition-R4	Unknown	AT0-S25-raw-spectral-data-file-R4
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S25-Extract-R1	polar fraction	labeling	Unknown	AT0-S25-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S25-mass-spectrometry-Acquisition-R1	Unknown	AT0-S25-raw-spectral-data-file-R1
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S25-Extract-R1	polar fraction	labeling	Unknown	AT0-S25-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S25-mass-spectrometry-Acquisition-R3	Unknown	AT0-S25-raw-spectral-data-file-R3
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S25-Extract-R1	polar fraction	labeling	Unknown	AT0-S25-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S25-mass-spectrometry-Acquisition-R2	Unknown	AT0-S25-raw-spectral-data-file-R2
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S2-Extract-R1	polar fraction	labeling	Unknown	AT0-S2-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S2-mass-spectrometry-Acquisition-R4	Unknown	AT0-S2-raw-spectral-data-file-R4
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S2-Extract-R1	polar fraction	labeling	Unknown	AT0-S2-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S2-mass-spectrometry-Acquisition-R2	Unknown	AT0-S2-raw-spectral-data-file-R2
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S2-Extract-R1	polar fraction	labeling	Unknown	AT0-S2-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S2-mass-spectrometry-Acquisition-R3	Unknown	AT0-S2-raw-spectral-data-file-R3
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S2-Extract-R1	polar fraction	labeling	Unknown	AT0-S2-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S2-mass-spectrometry-Acquisition-R1	Unknown	AT0-S2-raw-spectral-data-file-R1
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S7-Extract-R1	polar fraction	labeling	Unknown	AT0-S7-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S7-mass-spectrometry-Acquisition-R1	Unknown	AT0-S7-raw-spectral-data-file-R1
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S7-Extract-R1	polar fraction	labeling	Unknown	AT0-S7-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S7-mass-spectrometry-Acquisition-R3	Unknown	AT0-S7-raw-spectral-data-file-R3
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S7-Extract-R1	polar fraction	labeling	Unknown	AT0-S7-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S7-mass-spectrometry-Acquisition-R2	Unknown	AT0-S7-raw-spectral-data-file-R2
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S7-Extract-R1	polar fraction	labeling	Unknown	AT0-S7-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S7-mass-spectrometry-Acquisition-R4	Unknown	AT0-S7-raw-spectral-data-file-R4
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S12-Extract-R1	polar fraction	labeling	Unknown	AT0-S12-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S12-mass-spectrometry-Acquisition-R1	Unknown	AT0-S12-raw-spectral-data-file-R1
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S12-Extract-R1	polar fraction	labeling	Unknown	AT0-S12-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S12-mass-spectrometry-Acquisition-R3	Unknown	AT0-S12-raw-spectral-data-file-R3
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S12-Extract-R1	polar fraction	labeling	Unknown	AT0-S12-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S12-mass-spectrometry-Acquisition-R4	Unknown	AT0-S12-raw-spectral-data-file-R4
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S12-Extract-R1	polar fraction	labeling	Unknown	AT0-S12-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S12-mass-spectrometry-Acquisition-R2	Unknown	AT0-S12-raw-spectral-data-file-R2
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT0-S17-Extract-R1	polar fraction	labeling	Unknown	AT0-S17-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S17-mass-spectrometry-Acquisition-R4	Unknown	AT0-S17-raw-spectral-data-file-R4
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT0-S17-Extract-R1	polar fraction	labeling	Unknown	AT0-S17-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S17-mass-spectrometry-Acquisition-R3	Unknown	AT0-S17-raw-spectral-data-file-R3
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT0-S17-Extract-R1	polar fraction	labeling	Unknown	AT0-S17-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S17-mass-spectrometry-Acquisition-R1	Unknown	AT0-S17-raw-spectral-data-file-R1
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT0-S17-Extract-R1	polar fraction	labeling	Unknown	AT0-S17-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S17-mass-spectrometry-Acquisition-R2	Unknown	AT0-S17-raw-spectral-data-file-R2
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S22-Extract-R1	polar fraction	labeling	Unknown	AT0-S22-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S22-mass-spectrometry-Acquisition-R2	Unknown	AT0-S22-raw-spectral-data-file-R2
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S22-Extract-R1	polar fraction	labeling	Unknown	AT0-S22-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S22-mass-spectrometry-Acquisition-R3	Unknown	AT0-S22-raw-spectral-data-file-R3
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S22-Extract-R1	polar fraction	labeling	Unknown	AT0-S22-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S22-mass-spectrometry-Acquisition-R1	Unknown	AT0-S22-raw-spectral-data-file-R1
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S22-Extract-R1	polar fraction	labeling	Unknown	AT0-S22-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S22-mass-spectrometry-Acquisition-R4	Unknown	AT0-S22-raw-spectral-data-file-R4
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S3-Extract-R1	polar fraction	labeling	Unknown	AT0-S3-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S3-mass-spectrometry-Acquisition-R2	Unknown	AT0-S3-raw-spectral-data-file-R2
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S3-Extract-R1	polar fraction	labeling	Unknown	AT0-S3-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S3-mass-spectrometry-Acquisition-R3	Unknown	AT0-S3-raw-spectral-data-file-R3
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S3-Extract-R1	polar fraction	labeling	Unknown	AT0-S3-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S3-mass-spectrometry-Acquisition-R4	Unknown	AT0-S3-raw-spectral-data-file-R4
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S3-Extract-R1	polar fraction	labeling	Unknown	AT0-S3-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S3-mass-spectrometry-Acquisition-R1	Unknown	AT0-S3-raw-spectral-data-file-R1
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S8-Extract-R1	polar fraction	labeling	Unknown	AT0-S8-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S8-mass-spectrometry-Acquisition-R1	Unknown	AT0-S8-raw-spectral-data-file-R1
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S8-Extract-R1	polar fraction	labeling	Unknown	AT0-S8-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S8-mass-spectrometry-Acquisition-R2	Unknown	AT0-S8-raw-spectral-data-file-R2
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S8-Extract-R1	polar fraction	labeling	Unknown	AT0-S8-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S8-mass-spectrometry-Acquisition-R3	Unknown	AT0-S8-raw-spectral-data-file-R3
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S8-Extract-R1	polar fraction	labeling	Unknown	AT0-S8-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S8-mass-spectrometry-Acquisition-R4	Unknown	AT0-S8-raw-spectral-data-file-R4
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S13-Extract-R1	polar fraction	labeling	Unknown	AT0-S13-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S13-mass-spectrometry-Acquisition-R4	Unknown	AT0-S13-raw-spectral-data-file-R4
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S13-Extract-R1	polar fraction	labeling	Unknown	AT0-S13-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S13-mass-spectrometry-Acquisition-R3	Unknown	AT0-S13-raw-spectral-data-file-R3
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S13-Extract-R1	polar fraction	labeling	Unknown	AT0-S13-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S13-mass-spectrometry-Acquisition-R2	Unknown	AT0-S13-raw-spectral-data-file-R2
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S13-Extract-R1	polar fraction	labeling	Unknown	AT0-S13-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S13-mass-spectrometry-Acquisition-R1	Unknown	AT0-S13-raw-spectral-data-file-R1
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT0-S18-Extract-R1	polar fraction	labeling	Unknown	AT0-S18-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S18-mass-spectrometry-Acquisition-R4	Unknown	AT0-S18-raw-spectral-data-file-R4
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT0-S18-Extract-R1	polar fraction	labeling	Unknown	AT0-S18-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S18-mass-spectrometry-Acquisition-R2	Unknown	AT0-S18-raw-spectral-data-file-R2
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT0-S18-Extract-R1	polar fraction	labeling	Unknown	AT0-S18-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S18-mass-spectrometry-Acquisition-R1	Unknown	AT0-S18-raw-spectral-data-file-R1
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT0-S18-Extract-R1	polar fraction	labeling	Unknown	AT0-S18-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S18-mass-spectrometry-Acquisition-R3	Unknown	AT0-S18-raw-spectral-data-file-R3
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S23-Extract-R1	polar fraction	labeling	Unknown	AT0-S23-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S23-mass-spectrometry-Acquisition-R2	Unknown	AT0-S23-raw-spectral-data-file-R2
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S23-Extract-R1	polar fraction	labeling	Unknown	AT0-S23-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S23-mass-spectrometry-Acquisition-R4	Unknown	AT0-S23-raw-spectral-data-file-R4
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S23-Extract-R1	polar fraction	labeling	Unknown	AT0-S23-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S23-mass-spectrometry-Acquisition-R1	Unknown	AT0-S23-raw-spectral-data-file-R1
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S23-Extract-R1	polar fraction	labeling	Unknown	AT0-S23-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S23-mass-spectrometry-Acquisition-R3	Unknown	AT0-S23-raw-spectral-data-file-R3
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S1-Extract-R1	polar fraction	labeling	Unknown	AT0-S1-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S1-mass-spectrometry-Acquisition-R3	Unknown	AT0-S1-raw-spectral-data-file-R3
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S1-Extract-R1	polar fraction	labeling	Unknown	AT0-S1-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S1-mass-spectrometry-Acquisition-R1	Unknown	AT0-S1-raw-spectral-data-file-R1
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S1-Extract-R1	polar fraction	labeling	Unknown	AT0-S1-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S1-mass-spectrometry-Acquisition-R2	Unknown	AT0-S1-raw-spectral-data-file-R2
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S1-Extract-R1	polar fraction	labeling	Unknown	AT0-S1-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S1-mass-spectrometry-Acquisition-R4	Unknown	AT0-S1-raw-spectral-data-file-R4
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S6-Extract-R1	polar fraction	labeling	Unknown	AT0-S6-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S6-mass-spectrometry-Acquisition-R2	Unknown	AT0-S6-raw-spectral-data-file-R2
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S6-Extract-R1	polar fraction	labeling	Unknown	AT0-S6-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S6-mass-spectrometry-Acquisition-R4	Unknown	AT0-S6-raw-spectral-data-file-R4
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S6-Extract-R1	polar fraction	labeling	Unknown	AT0-S6-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S6-mass-spectrometry-Acquisition-R1	Unknown	AT0-S6-raw-spectral-data-file-R1
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S6-Extract-R1	polar fraction	labeling	Unknown	AT0-S6-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S6-mass-spectrometry-Acquisition-R3	Unknown	AT0-S6-raw-spectral-data-file-R3
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S11-Extract-R1	polar fraction	labeling	Unknown	AT0-S11-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S11-mass-spectrometry-Acquisition-R3	Unknown	AT0-S11-raw-spectral-data-file-R3
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S11-Extract-R1	polar fraction	labeling	Unknown	AT0-S11-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S11-mass-spectrometry-Acquisition-R2	Unknown	AT0-S11-raw-spectral-data-file-R2
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S11-Extract-R1	polar fraction	labeling	Unknown	AT0-S11-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S11-mass-spectrometry-Acquisition-R4	Unknown	AT0-S11-raw-spectral-data-file-R4
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S11-Extract-R1	polar fraction	labeling	Unknown	AT0-S11-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S11-mass-spectrometry-Acquisition-R1	Unknown	AT0-S11-raw-spectral-data-file-R1
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT0-S16-Extract-R1	polar fraction	labeling	Unknown	AT0-S16-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S16-mass-spectrometry-Acquisition-R1	Unknown	AT0-S16-raw-spectral-data-file-R1
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT0-S16-Extract-R1	polar fraction	labeling	Unknown	AT0-S16-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S16-mass-spectrometry-Acquisition-R4	Unknown	AT0-S16-raw-spectral-data-file-R4
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT0-S16-Extract-R1	polar fraction	labeling	Unknown	AT0-S16-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S16-mass-spectrometry-Acquisition-R2	Unknown	AT0-S16-raw-spectral-data-file-R2
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT0-S16-Extract-R1	polar fraction	labeling	Unknown	AT0-S16-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S16-mass-spectrometry-Acquisition-R3	Unknown	AT0-S16-raw-spectral-data-file-R3
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S21-Extract-R1	polar fraction	labeling	Unknown	AT0-S21-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S21-mass-spectrometry-Acquisition-R1	Unknown	AT0-S21-raw-spectral-data-file-R1
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S21-Extract-R1	polar fraction	labeling	Unknown	AT0-S21-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S21-mass-spectrometry-Acquisition-R2	Unknown	AT0-S21-raw-spectral-data-file-R2
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S21-Extract-R1	polar fraction	labeling	Unknown	AT0-S21-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S21-mass-spectrometry-Acquisition-R3	Unknown	AT0-S21-raw-spectral-data-file-R3
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT0-S21-Extract-R1	polar fraction	labeling	Unknown	AT0-S21-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S21-mass-spectrometry-Acquisition-R4	Unknown	AT0-S21-raw-spectral-data-file-R4
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S4-Extract-R1	polar fraction	labeling	Unknown	AT0-S4-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S4-mass-spectrometry-Acquisition-R2	Unknown	AT0-S4-raw-spectral-data-file-R2
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S4-Extract-R1	polar fraction	labeling	Unknown	AT0-S4-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S4-mass-spectrometry-Acquisition-R4	Unknown	AT0-S4-raw-spectral-data-file-R4
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S4-Extract-R1	polar fraction	labeling	Unknown	AT0-S4-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S4-mass-spectrometry-Acquisition-R3	Unknown	AT0-S4-raw-spectral-data-file-R3
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S4-Extract-R1	polar fraction	labeling	Unknown	AT0-S4-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S4-mass-spectrometry-Acquisition-R1	Unknown	AT0-S4-raw-spectral-data-file-R1
GRP0_SBJ5_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S9-Extract-R1	polar fraction	labeling	Unknown	AT0-S9-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S9-mass-spectrometry-Acquisition-R3	Unknown	AT0-S9-raw-spectral-data-file-R3
