Source Name	Characteristics[Study Subject]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[run order]	Parameter Value[study cell]	Date	Performer	Sample Name	Characteristics[organism part]
GRP6_SBJ03	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	052	st_cl6	2021-01-29	Bob	GRP6_SBJ03_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ04	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	057	st_cl6	2021-01-29	Bob	GRP6_SBJ04_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ05	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	051	st_cl6	2021-01-29	Bob	GRP6_SBJ05_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ06	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	054	st_cl6	2021-01-29	Bob	GRP6_SBJ06_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ07	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	058	st_cl6	2021-01-29	Bob	GRP6_SBJ07_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ08	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	053	st_cl6	2021-01-29	Bob	GRP6_SBJ08_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ09	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	055	st_cl6	2021-01-29	Bob	GRP6_SBJ09_st_cl6_SMP-muscle-1	muscle
GRP6_SBJ10	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	060	st_cl6	2021-01-29	Bob	GRP6_SBJ10_st_cl6_SMP-muscle-1	muscle
GRP7_SBJ01	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	061	st_cl7	2021-01-29	Bob	GRP7_SBJ01_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ02	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	068	st_cl7	2021-01-29	Bob	GRP7_SBJ02_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ03	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	065	st_cl7	2021-01-29	Bob	GRP7_SBJ03_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ04	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	069	st_cl7	2021-01-29	Bob	GRP7_SBJ04_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ05	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	062	st_cl7	2021-01-29	Bob	GRP7_SBJ05_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ06	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	066	st_cl7	2021-01-29	Bob	GRP7_SBJ06_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ07	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	063	st_cl7	2021-01-29	Bob	GRP7_SBJ07_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ08	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	070	st_cl7	2021-01-29	Bob	GRP7_SBJ08_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ09	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	067	st_cl7	2021-01-29	Bob	GRP7_SBJ09_st_cl7_SMP-muscle-1	muscle
GRP7_SBJ10	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	064	st_cl7	2021-01-29	Bob	GRP7_SBJ10_st_cl7_SMP-muscle-1	muscle
GRP8_SBJ01	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	076	st_cl8	2021-01-29	Bob	GRP8_SBJ01_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ02	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	071	st_cl8	2021-01-29	Bob	GRP8_SBJ02_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ03	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	078	st_cl8	2021-01-29	Bob	GRP8_SBJ03_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ04	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	072	st_cl8	2021-01-29	Bob	GRP8_SBJ04_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ05	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	079	st_cl8	2021-01-29	Bob	GRP8_SBJ05_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ06	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	073	st_cl8	2021-01-29	Bob	GRP8_SBJ06_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ07	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	074	st_cl8	2021-01-29	Bob	GRP8_SBJ07_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ08	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	080	st_cl8	2021-01-29	Bob	GRP8_SBJ08_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ09	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	075	st_cl8	2021-01-29	Bob	GRP8_SBJ09_st_cl8_SMP-muscle-1	muscle
GRP8_SBJ10	Human	NCIT	http://purl.obolibrary.org/obo/NCIT_C14225	sample collection	077	st_cl8	2021-01-29	Bob	GRP8_SBJ10_st_cl8_SMP-muscle-1	muscle
