Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[acquisition_mode]	Parameter Value[pulse_sequence]	Performer	Raw Data File
GRP1_SBJ09_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S1-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S1-raw_spectral_data_file-R2
GRP1_SBJ09_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S1-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S1-raw_spectral_data_file-R1
GRP1_SBJ10_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S4-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S4-raw_spectral_data_file-R1
GRP1_SBJ10_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S4-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S4-raw_spectral_data_file-R2
GRP2_SBJ01_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S13-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S13-raw_spectral_data_file-R1
GRP2_SBJ01_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S13-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S13-raw_spectral_data_file-R2
GRP2_SBJ02_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S18-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S18-raw_spectral_data_file-R2
GRP2_SBJ02_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S18-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S18-raw_spectral_data_file-R1
GRP2_SBJ03_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S19-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S19-raw_spectral_data_file-R2
GRP2_SBJ03_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S19-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S19-raw_spectral_data_file-R1
GRP2_SBJ04_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S12-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S12-raw_spectral_data_file-R1
GRP2_SBJ04_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S12-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S12-raw_spectral_data_file-R2
GRP2_SBJ05_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S14-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S14-raw_spectral_data_file-R2
GRP2_SBJ05_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S14-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S14-raw_spectral_data_file-R1
GRP2_SBJ06_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S16-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S16-raw_spectral_data_file-R2
GRP2_SBJ06_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S16-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S16-raw_spectral_data_file-R1
GRP2_SBJ07_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S17-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S17-raw_spectral_data_file-R2
GRP2_SBJ07_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S17-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S17-raw_spectral_data_file-R1
GRP2_SBJ08_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S20-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S20-raw_spectral_data_file-R1
GRP2_SBJ08_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S20-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S20-raw_spectral_data_file-R2
GRP2_SBJ09_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S15-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S15-raw_spectral_data_file-R2
GRP2_SBJ09_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S15-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S15-raw_spectral_data_file-R1
GRP2_SBJ10_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S11-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S11-raw_spectral_data_file-R1
GRP2_SBJ10_st_cl2_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S11-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S11-raw_spectral_data_file-R2
GRP3_SBJ01_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S25-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S25-raw_spectral_data_file-R1
GRP3_SBJ01_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S25-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S25-raw_spectral_data_file-R2
GRP3_SBJ02_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S28-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S28-raw_spectral_data_file-R1
GRP3_SBJ02_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S28-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S28-raw_spectral_data_file-R2
GRP3_SBJ03_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S27-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S27-raw_spectral_data_file-R2
GRP3_SBJ03_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S27-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S27-raw_spectral_data_file-R1
GRP3_SBJ04_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S23-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S23-raw_spectral_data_file-R2
GRP3_SBJ04_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S23-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S23-raw_spectral_data_file-R1
GRP3_SBJ05_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S29-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S29-raw_spectral_data_file-R2
GRP3_SBJ05_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S29-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S29-raw_spectral_data_file-R1
GRP3_SBJ06_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S30-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S30-raw_spectral_data_file-R2
GRP3_SBJ06_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S30-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S30-raw_spectral_data_file-R1
GRP3_SBJ07_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S21-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S21-raw_spectral_data_file-R2
GRP3_SBJ07_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S21-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S21-raw_spectral_data_file-R1
GRP3_SBJ08_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S22-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S22-raw_spectral_data_file-R2
GRP3_SBJ08_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S22-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S22-raw_spectral_data_file-R1
GRP3_SBJ09_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S26-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S26-raw_spectral_data_file-R2
GRP3_SBJ09_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S26-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S26-raw_spectral_data_file-R1
GRP3_SBJ10_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S24-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S24-raw_spectral_data_file-R1
GRP3_SBJ10_st_cl3_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S24-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S24-raw_spectral_data_file-R2
GRP4_SBJ01_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S38-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S38-raw_spectral_data_file-R1
GRP4_SBJ01_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S38-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S38-raw_spectral_data_file-R2
GRP4_SBJ02_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S35-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S35-raw_spectral_data_file-R2
GRP4_SBJ02_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S35-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S35-raw_spectral_data_file-R1
GRP4_SBJ03_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S37-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S37-raw_spectral_data_file-R2
GRP4_SBJ03_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S37-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S37-raw_spectral_data_file-R1
GRP4_SBJ04_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S40-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S40-raw_spectral_data_file-R1
GRP4_SBJ04_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S40-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S40-raw_spectral_data_file-R2
GRP4_SBJ05_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S33-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S33-raw_spectral_data_file-R1
GRP4_SBJ05_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S33-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S33-raw_spectral_data_file-R2
GRP4_SBJ06_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S31-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S31-raw_spectral_data_file-R2
GRP4_SBJ06_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S31-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S31-raw_spectral_data_file-R1
GRP4_SBJ07_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S32-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S32-raw_spectral_data_file-R1
GRP4_SBJ07_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S32-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S32-raw_spectral_data_file-R2
GRP4_SBJ08_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S36-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S36-raw_spectral_data_file-R2
GRP4_SBJ08_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S36-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S36-raw_spectral_data_file-R1
GRP4_SBJ09_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S39-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S39-raw_spectral_data_file-R2
GRP4_SBJ09_st_cl4_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S39-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S39-raw_spectral_data_file-R1
